Wall time,Step,Value
1737120923.6212935,212,-10.142955780029297
1737122093.5543766,213,-9.960237503051758
1737123251.111964,214,-9.854244232177734
1737124420.053764,215,-9.866975784301758
1737125577.8720734,216,-10.12065887451172
1737126734.607545,217,-10.181309700012209
1737127900.5937986,218,-10.261527061462402
1737129051.2221756,219,-10.083324432373049
1737130201.7966013,220,-9.993412971496582
1737131352.2700045,221,-10.184269905090332
1737132501.6048028,222,-10.29022979736328
1737133660.0830324,223,-10.24632453918457
1737134828.314702,224,-10.438791275024414
1737135986.7130897,225,-10.52996826171875
1737137143.8915002,226,-10.191851615905762
1737138303.1065326,227,-10.397416114807127
1737139471.7473314,228,-10.580622673034668
1737140673.8874729,229,-10.513330459594728
1737141892.2161653,230,-10.636137962341309
1737345406.551063,231,-10.457051277160645
1737346505.7372725,232,-10.495410919189451
1737347513.6110592,233,-10.399703979492188
1737348599.7164812,234,-10.668792724609377
1737349840.4755144,235,-10.610047340393066
1737351007.3534768,236,-10.79477310180664
1737351943.6097436,237,-10.73284149169922
1737352875.8115427,238,-10.62439250946045
1737353870.234763,239,-10.462728500366213
1737355092.0785472,240,-10.711129188537598
1737356089.8156624,241,-10.604798316955566
1737357107.3172176,242,-10.6725435256958
1737358455.5852883,243,-10.707326889038086
1737359801.406942,244,-10.727463722229004
1737360846.341384,245,-10.766091346740724
1737362002.3729975,246,-10.689740180969238
1737363189.431421,247,-10.753634452819824
1737364150.3103502,248,-10.826866149902344
1737365086.4381945,249,-10.887417793273926
1737366029.793624,250,-10.852703094482422
1737367194.019746,251,-10.798895835876465
1737368391.6752694,252,-10.707839965820312
1737369427.0482008,253,-11.1165771484375
1737370639.3287196,254,-10.971637725830078
1737371631.4886248,255,-11.091489791870115
1737372774.8307538,256,-11.056984901428224
1737373757.1401532,257,-10.872644424438477
1737375014.4472194,258,-10.990581512451172
1737376301.618529,259,-10.867172241210938
1737377599.3888688,260,-10.915428161621094
1737378911.993233,261,-10.994811058044434
1737380205.9537754,262,-11.12843132019043
1737381518.0333507,263,-11.240819931030272
1737382813.0945728,264,-11.094427108764648
1737384125.3330553,265,-10.983081817626951
1737385437.0847316,266,-10.549944877624512
1737386732.6678376,267,-10.820624351501465
1737388028.0583773,268,-11.116748809814451
1737389323.901796,269,-11.163907051086426
1737390619.2733295,270,-11.09091091156006
1737391915.9884822,271,-10.964814186096191
1737393210.775402,272,-11.158400535583496
1737394521.5934336,273,-11.05599308013916
1737395832.54907,274,-11.090444564819336
1737397135.5208952,275,-11.28950023651123
1737398417.5238256,276,-11.22739601135254
1737399702.8170817,277,-11.291056632995604
1737401006.7996275,278,-11.205955505371094
1737402311.318689,279,-11.291984558105469
1737403609.7811215,280,-11.408098220825195
1737404906.998676,281,-11.50296401977539
1737406182.7053194,282,-11.558361053466797
1737407482.974858,283,-11.334651947021484
1737408751.883001,284,-11.423974990844728
1737410025.379221,285,-11.406702041625977
1737411298.9103024,286,-11.270612716674805
1737412576.3164554,287,-11.467925071716309
1737413851.7689474,288,-11.303325653076172
1737415126.1649375,289,-11.466967582702637
1737416401.2540655,290,-11.385438919067385
