Wall time,Step,Value
1737357107.3172176,242,-10.298766136169434
1737358455.5852883,243,-10.33342456817627
1737359801.406942,244,-10.35417938232422
1737360846.3423843,245,-10.392330169677734
1737362002.3729975,246,-10.317035675048828
1737363189.431421,247,-10.3807373046875
1737364150.3103502,248,-10.455524444580078
1737365086.4538248,249,-10.516505241394045
1737366029.793624,250,-10.481481552124023
1737367194.019746,251,-10.428004264831545
1737368391.6752694,252,-10.33499240875244
1737369427.0497067,253,-10.745645523071287
1737370639.3287196,254,-10.60157299041748
1737371631.4886248,255,-10.722354888916016
1737372774.8307538,256,-10.687674522399902
1737373757.1401532,257,-10.504505157470703
1737375014.4472194,258,-10.622146606445312
1737376301.618529,259,-10.496134757995604
1737377599.3888688,260,-10.54680633544922
1737378911.993233,261,-10.626726150512695
1737380205.9537754,262,-10.761516571044922
1737381518.0333507,263,-10.873920440673828
1737382813.0945728,264,-10.727384567260742
1737384125.3330553,265,-10.618192672729492
1737385437.0847316,266,-10.18399143218994
1737386732.6678376,267,-10.449681282043455
1737388028.0583773,268,-10.749217987060549
1737389323.901796,269,-10.796947479248049
1737390619.2733295,270,-10.72413730621338
1737391915.9884822,271,-10.599937438964844
1737393210.775402,272,-10.79315185546875
1737394521.5934336,273,-10.689290046691896
1737395832.54907,274,-10.725696563720703
1737397135.5208952,275,-10.92568588256836
1737398417.5238256,276,-10.861893653869627
1737399702.8170817,277,-10.928339004516602
1737401006.7996275,278,-10.842019081115724
1737402311.318689,279,-10.92819595336914
1737403609.7811215,280,-11.046210289001465
1737404906.998676,281,-11.141569137573242
1737406182.7053194,282,-11.19671630859375
1737407482.974858,283,-10.973520278930664
1737408751.883001,284,-11.06302547454834
1737410025.379221,285,-11.045811653137209
1737411298.9103024,286,-10.90867805480957
1737412576.3164554,287,-11.107394218444824
1737413851.769948,288,-10.94426441192627
1737415126.1649375,289,-11.106830596923828
1737416401.2540655,290,-11.026004791259766
1737417685.8119905,291,-11.153239250183104
1737418957.1640124,292,-10.881600379943848
1737420231.4533837,293,-11.12330150604248
1737421530.9375126,294,-11.104004859924316
1737422816.3475487,295,-10.833508491516112
1737424097.9317985,296,-11.187870979309082
1737425379.8748124,297,-11.29485321044922
1737426666.2920325,298,-11.307344436645508
1737427952.9429877,299,-11.128790855407717
1737431866.7595165,300,-11.3098783493042
1737433138.3707032,301,-11.249006271362305
1737434099.4759552,302,-11.307275772094728
1737435209.5760598,303,-11.093393325805664
1737436449.3740177,304,-11.212403297424316
1737437597.02504,305,-11.137168884277344
1737438612.0398028,306,-11.382939338684082
1737439632.571062,307,-11.407611846923828
1737440716.970215,308,-11.309496879577637
1737441770.2702563,309,-11.440089225769045
1737442701.7974324,310,-11.482402801513672
1737443633.1510458,311,-11.559160232543944
1737444564.7001958,312,-11.347145080566406
1737445495.9594605,313,-11.358186721801758
1737446427.474959,314,-11.39401626586914
1737447360.5994923,315,-11.459815979003906
1737448298.239184,316,-11.402910232543944
1737449240.14816,317,-11.686501502990724
1737450174.554813,318,-11.430975914001465
1737451104.960139,319,-11.482327461242676
1737452052.1731997,320,-11.721487045288086
1737453141.582744,321,-11.604240417480469
1737454148.0688298,322,-11.796117782592772
1737455184.5711052,323,-10.934442520141602
1737456336.1846287,324,-11.512191772460938
1737457335.0831227,325,-11.008641242980955
1737458675.5910676,326,-11.396384239196776
1737460601.6211462,327,-11.60635757446289
1737461751.4777422,328,-11.582738876342772
1737462901.432951,329,-11.267304420471191
1737464053.9067626,330,-11.54831600189209
1737465203.813287,331,-11.516153335571287
1737466365.6950011,332,-11.48580837249756
1737467522.98885,333,-11.502790451049805
1737468672.438038,334,-11.225990295410156
1737469822.5397525,335,-11.252226829528809
1737470973.6816883,336,-11.492670059204102
1737472123.637568,337,-11.51881504058838
1737473280.699889,338,-11.186293601989746
1737474429.9249182,339,-11.578086853027344
1737475587.3214097,340,-11.348225593566896
1737476745.630317,341,-11.540986061096191
1737477895.9415598,342,-11.603254318237305
1737479044.969322,343,-11.74108600616455
1737480201.8575091,344,-11.556987762451172
1737481351.652349,345,-11.736125946044922
1737482503.4289992,346,-11.821847915649414
1737483653.4820344,347,-11.884814262390137
1737484802.4244254,348,-11.918992042541504
1737485960.0529282,349,-11.772947311401367
1737487110.462194,350,-11.36396598815918
1737488259.6960735,351,-11.763707160949709
1737489412.6940408,352,-11.762133598327637
1737490563.7124343,353,-11.964242935180664
1737491714.5088103,354,-11.882741928100586
1737492864.0928354,355,-11.969470024108888
1737494013.7263775,356,-11.97600269317627
1737495165.9237394,357,-12.087230682373049
1737496323.2815204,358,-11.908390998840332
1737497474.234978,359,-10.921504020690918
1737498623.7076557,360,-11.43138313293457
1737499773.898719,361,-11.972944259643556
1737500924.421715,362,-11.00532054901123
1737502074.227446,363,-11.735844612121582
1737503227.2970445,364,-11.583019256591797
1737504378.9585605,365,-11.798724174499512
1737505529.91789,366,-11.8751859664917
1737506682.1009486,367,-11.85323429107666
1737507832.8902426,368,-11.618441581726074
1737508983.3532174,369,-11.93022632598877
1737510135.180817,370,-11.855816841125488
1737511286.2096567,371,-11.88376235961914
1737512445.1868944,372,-12.161771774291992
1737513595.7650447,373,-11.792642593383787
1737514746.874827,374,-12.048931121826172
1737515897.6570537,375,-12.200321197509766
1737517047.1331544,376,-12.128022193908691
1737518012.0277352,377,-11.86567497253418
1737519202.6780114,378,-11.833352088928224
1737520326.80665,379,-11.829439163208008
1737521279.6625228,380,-12.073453903198242
1737522222.6819837,381,-12.152474403381348
1737523507.9058678,382,-12.17932415008545
1737524829.2519686,383,-12.01035976409912
1737526180.4661942,384,-11.92812156677246
1737527512.3135223,385,-11.889436721801758
1737528872.6015656,386,-12.0558500289917
1737530050.4302497,387,-12.101290702819824
1737531372.9475832,388,-12.177675247192385
1737532717.6881874,389,-11.987703323364258
1737534005.1678894,390,-11.970511436462402
1737535165.6309218,391,-12.163805961608888
1737536208.473805,392,-12.0782470703125
1737537514.0012286,393,-12.190515518188477
1737538669.705207,394,-12.16020393371582
1737539811.7498736,395,-12.291163444519045
